tweet,date
Bayılana kadar seni içeceğiz SÖZ #KIRMIZI #TUBORG  pic.twitter.com/dafSrDXs5N,2018-09-03
Mutlu keyifli pazarlar gençler...😎😎😎 #keyiflipazarlar #düzenli #için #gençler #tuborg #gold #beer #bira @ Gümüldür Adahan  https://www.instagram.com/p/BnOQBhTgPED/?utm_source=ig_twitter_share&igshid=1ag80ngs6unhf …,2018-09-02
"Yarın bekleriz 6 kutu #tuborg soğutucu çanta hediyeli (@ Doğan Tekel Bayii Çamcı Köyü in Edremit, Balıkesir)  https://www.swarmapp.com/c/7BCOwrWoQim  pic.twitter.com/odaAg5pC50",2018-09-01
#GeceyeBirNot #tuborg candır🙋🏻‍♂️  pic.twitter.com/NCz9Yv7Gdd,2018-09-01
Tepedeyiz yine #tuborg #bomonti pic.twitter.com/TkmbuVPUXe,2018-09-01
"Ülkede genel işleyiş mantığı:saat 22 den sonra #bar,#birahane gibi yerlerde #alkol alabilirsin.Ama bir bira alıp evde içemezsin 🤔#bira #efes #tuborg #yazakşamlari #AlkolikHareketEngellenemez",2018-08-31
"#Galatasaray 'ı bira markası olarak, #EfesPilsen değil de, #Tuborg olarak yapsalar idi daha güzel olurdu herhalde? 😉  pic.twitter.com/mcvq2DA3Jf",2018-08-30
#TUBORG'cuyuz 😀  pic.twitter.com/jSKMassNfH,2018-08-29
Aklımda yine sen gece olunca #tuborg ✌️👍🤔,2018-08-29
Herkese mutlu geceler😏 time #tuborg  pic.twitter.com/xnlwblErPY,2018-08-28
İyi geceler istiyorsanız #tuborg #şart gerisi hikaye pic.twitter.com/ZfjndG72pt,2018-08-28
Köfteciyi hadım etmişler Bilader rahat olabilirsin artık 😂 #benimsanagücümyetmez #tuborg 🍺 @monofaze53 pic.twitter.com/ReXJcCT258,2018-08-28
#ASELSAN #THYAO #PGSUS #YATAS #TTKOM #BANVT #IMKB #VESTL #KOZAA #KOZAL #SASA   Sabah ki önerilerimden ; #BERA MÜKEMMEL ✌✌ #TUBORG yavaş yavaş 💪💪 Bir #YATAS ta sorun var bakalım ne olacak 🤔  Hep beraber kazanicaz   Uyduruk hesaplara inanmayın,2018-08-28
"#Tuborg , #Efes ve #Bomonti birası içen 3 arkadaş  içmek için buluşurlar. Sipariş zamanı; biri Efes malt , diğeri Bomonti filtresiz ister. Tuborg içen kişide soda söyler. Diğerleri şaşkın ifadelerle bakarken Tuborg  içen "" Kimse bira içmiyordu bende ortama uyayım dedim"" demiş.",2018-08-28
#efes bardağında #tuborg içmek  pic.twitter.com/TaaAnBRYt8,2018-08-27
Biraz güzelleşeyim bari.  #tuborg,2018-08-25
Ben bunu görmemişim. Yanına bi de gamalı haç koyaydınız! #tuborg  pic.twitter.com/nectzjMooU,2018-08-24
#tuborg adamların dolabında tuborg yoktu bizim sayemizde dolu artık.,2018-08-24
#tuborg 9 günlük tatilde akdenizin sahillerini  tuborgun etiketleri ile süsledik gör bizi tuborg  pic.twitter.com/3wj5OTZili,2018-08-24
sen ne çirkin biramızsın #tuborg,2018-08-23
#milyonfestmersin #carlsberg #tuborg @ Kocahasanlı Milyon Su Plaji  https://www.instagram.com/p/Bm1Y2eGnVcG/?utm_source=ig_twitter_share&igshid=ew7ozlzyxf2c …,2018-08-23
İzmir Birası #Tuborg 😊😊  pic.twitter.com/k1S5ybf1zg,2018-08-23
Soğuk içiniz ... #tuborg #marmaris #bozburun #beerporn  kaplumbagadeden @ Moonlight Boutique Hotel Bozburun  https://www.instagram.com/p/BmvTF-wlG1i/?utm_source=ig_twitter_share&igshid=1qjtxu5zw0rrq …,2018-08-21
Vallah #tuborg ta olur yok demem🍺🍺🍺😂😂😂,2018-08-21
"Bira, Cips, Film üçgenini kurduk İyi Bayramlar Hayırlı Bayramlar #Tuborg",2018-08-21
serseri doğdum serseri ölücem... vvveeee son 😃🤓😜🤘🤘🤘 #teoman #serseri #mersin #erdemli #kocahasanlı #festival #konser #canlı #performans #ağustos #cuma #cumartesi #pazar #tuborg…  https://www.instagram.com/p/BmrTk4Tj-EU/?utm_source=ig_twitter_share&igshid=1vmhvw7ys2jgk …,2018-08-20
#teoman #mersin #erdemli #kocahasanlı #festival #konser #canlı #performans #ağustos #cuma #cumartesi #pazar #tuborg #yüzdeyüzmüzik @ Kocahasanlı Milyon Su Plaji  https://www.instagram.com/p/BmrQ4tnjw3s/?utm_source=ig_twitter_share&igshid=tjl5tdrdz0s7 …,2018-08-20
#teoman #renklirüyalaroteli #mersin #erdemli #kocahasanlı #festival #konser #canlı #performans #ağustos #cuma #cumartesi #pazar #tuborg #yüzdeyüzmüzik @ Kocahasanlı Milyon Su Plaji  https://www.instagram.com/p/BmrMIEUDr8E/?utm_source=ig_twitter_share&igshid=15tzegs804qh8 …,2018-08-20
#haykocepkin #mersin #erdemli #kocahasanlı #festival #konser #canlı #performans #ağustos #cuma #cumartesi #pazar #tuborg #yüzdeyüzmüzik @ Kocahasanlı Milyon Su Plaji  https://www.instagram.com/p/BmrFiCdDA8Q/?utm_source=ig_twitter_share&igshid=12kckqkm7epre …,2018-08-19
vvvveeeeee #haykocepkin 🤘🤘🤘 burası yikiliyorrrr gardassss   #mersin #erdemli #kocahasanlı #festival #konser #canlı #performans #ağustos #cuma #cumartesi #pazar #tuborg #yüzdeyüzmüzik  https://www.instagram.com/p/BmrBxItjSea/?utm_source=ig_twitter_share&igshid=4zcfclc301ds …,2018-08-19
#pamela #mersin #erdemli #kocahasanlı #festival #konser #canlı #performans #ağustos #cuma #cumartesi #pazar #tuborg #yüzdeyüzmüzik @ Kocahasanlı Milyon Su Plaji  https://www.instagram.com/p/Bmq34ZBj4ZR/?utm_source=ig_twitter_share&igshid=8wyccxlwab5m …,2018-08-19
babalarrrrr helallll 🤓😎 #babazula #mersin #erdemli #kocahasanlı #festival #konser #canlı #performans #ağustos #cuma #cumartesi #pazar #tuborg #yüzdeyüzmüzik @ Kocahasanlı Milyon Su Plaji  https://www.instagram.com/p/Bmqur_CjWsm/?utm_source=ig_twitter_share&igshid=2nl0jgrr3og5 …,2018-08-19
#yüzyüzeykenkonuşuruz #mersin #erdemli #kocahasanlı #festival #konser #canlı #performans #ağustos #cuma #cumartesi #pazar #tuborg #yüzdeyüzmüzik @ Kocahasanlı Milyon Su Plaji  https://www.instagram.com/p/BmqmEELjNxp/?utm_source=ig_twitter_share&igshid=pxqxg9h0lzgr …,2018-08-19
Mutlu pazarlar #tuborg  https://www.youtube.com/watch?v=K5ZZU-yKZjw&feature=share …,2018-08-19
#şebnemferah #mersin #erdemli #kocahasanlı #festival #konser #canlı #performans #ağustos #cuma #cumartesi #pazar #tuborg #yüzdeyüzmüzik @ Kocahasanlı Milyon Su Plaji  https://www.instagram.com/p/BmovQYGjrCr/?utm_source=ig_twitter_share&igshid=tgtlpry3ytn5 …,2018-08-19
#şebnemferah #mersin #erdemli #kocahasanlı #festival #konser #canlı #performans #ağustos #cuma #cumartesi #pazar #tuborg #yüzdeyüzmüzik @ Kocahasanlı Milyon Su Plaji  https://www.instagram.com/p/BmouXNzjYmR/?utm_source=ig_twitter_share&igshid=1mk4gpkw9j9s5 …,2018-08-19
